id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1351797,SUITE WITH PRIVATE BATH,4772298,Astrid,Ciutat Vella,el Raval,41.37914433549939,2.164601450354355,Private room,30,3,95,2016-07-01,2.28,1,0
13512850,Central private joyful double bedroom,13410654,Samuel,Ciutat Vella,el Raval,41.38013075296375,2.164363677622302,Private room,21,2,27,2016-11-15,4.03,2,332
14329127,Cozy Room in center of Barcelona,48678603,Orlando,Ciutat Vella,el Raval,41.37935207745565,2.164182637361041,Private room,24,3,32,2017-01-03,6.49,2,10
15246460,Single&comfy room in lovely raval,76189037,Martina,Ciutat Vella,el Raval,41.384621321087394,2.1644390517866854,Private room,30,1,0,,,1,348
1189222,Cosy studio just off Las Ramblas,383697,Anna,Ciutat Vella,el Raval,41.385495066655785,2.167945653753928,Entire home/apt,69,3,30,2016-12-28,1.62,22,359
13313534,habitacion en rambla del raval (muy centrico),30986424,Kevin,Ciutat Vella,el Raval,41.377444405262615,2.1698302011259463,Private room,40,1,0,,,1,89
7666584,Double room in lovely flat,40193785,Gaby & Ken,Ciutat Vella,el Raval,41.377707038587296,2.1682071332905775,Private room,50,1,29,2016-11-07,1.69,1,47
15063931,SPACIOUS BOUTIQUE APARTMENT NEXT TO RAMBLAS,4064440,Andreas,Ciutat Vella,el Raval,41.383019568136376,2.165119262278001,Entire home/apt,195,3,3,2016-12-19,2.20,10,312
14755933,PARADISE  ROOM  for 2 PERSON,38141742,Maykol,Ciutat Vella,el Raval,41.38325248657816,2.16566411550341,Private room,25,1,18,2016-12-22,4.15,5,321
12561413,Summer Sunny  Centric Bcn,68091301,Stefanie,Ciutat Vella,el Raval,41.380466882703296,2.1641334966617936,Entire home/apt,70,2,36,2016-12-14,4.24,1,346
4696996,Habitaciones pleno centro Barcelona,24282359,Daniel,Ciutat Vella,el Raval,41.37545202392326,2.1751569321657627,Private room,70,1,0,,,7,365
16296906,Barcelona city center,21726991,Maria,Ciutat Vella,el Raval,41.37926453945611,2.1661664319802822,Entire home/apt,60,1,0,,,3,48
3845305,LOVELY ROOM IN LICEU,19821352,Guillem,Ciutat Vella,el Raval,41.3790885238818,2.173287122755557,Private room,65,1,0,,,1,0
3353692,COZY CENTRIC LOFT RAMBLAS,13862374,Roger,Ciutat Vella,el Raval,41.38110351681324,2.167571326453087,Entire home/apt,65,3,95,2016-12-29,3.14,3,153
16198902,Comfty room located in the center of BCN,7308577,Silvana & Juana,Ciutat Vella,el Raval,41.37610868264975,2.1690924690937963,Private room,30,1,5,2016-12-22,5,3,22
8077109,Nice & Sunny room in the Center,3548318,Nai,Ciutat Vella,el Raval,41.38021560139961,2.1685798748207783,Private room,32,2,41,2016-10-28,2.67,2,243
4412214,Ramblas Boquería Raval,9539548,Sonia,Ciutat Vella,el Raval,41.38169936591768,2.1710236163467322,Entire home/apt,105,2,5,2016-10-07,0.41,3,128
8768943,Comfy room in the city center,30978272,Andreea,Ciutat Vella,el Raval,41.3775320786409,2.1670152794143114,Private room,25,1,0,,,1,0
7559551,BONITA Y CÓMODA HABITACIÓN,39623843,Naldo Ney,Ciutat Vella,el Raval,41.371301176769,2.1805647703235196,Private room,50,4,3,2016-10-25,0.63,4,296
907637,super large loft apartment,4861615,Sandra,Ciutat Vella,el Raval,41.37804555154603,2.1666787063622417,Entire home/apt,124,32,105,2016-10-05,2.23,1,280
731225,Centric big room whit private balcony & bathroom.,3804525,Nahor Alexander,Ciutat Vella,el Raval,41.376667501903874,2.1671143941275943,Private room,33,2,64,2016-11-10,2.55,3,360
15888876,Private dream bed,13410654,Samuel,Ciutat Vella,el Raval,41.37778608508068,2.1645070738211007,Private room,20,2,0,,,2,348
14470889,Central&Cozy Double Bedroom + Free Breakfast(4),655279,John&Feran,Ciutat Vella,el Raval,41.38396631772777,2.1650145560707115,Private room,29,1,29,2017-01-01,6.74,5,248
14866999,"Bohemian, stylish and magic",66751881,Orland,Ciutat Vella,el Raval,41.37922552721095,2.168089988188556,Entire home/apt,80,2,1,2016-09-11,0.25,1,364
14379760,"Double Room - CENTER,  Amazing & Peaceful Location",39430002,Ivan,Ciutat Vella,el Raval,41.38050198137638,2.1639810538743003,Private room,50,2,22,2016-12-21,4.58,2,81
3919880,B&B mirador de Sant Pau,15705357,Alexia,Ciutat Vella,el Raval,41.37658686174332,2.1665969327575096,Private room,42,1,93,2016-12-29,3.26,6,363
14088178,Calle l'Aurora serca rambla raval,84131315,Patricia,Ciutat Vella,el Raval,41.37811768485274,2.1672333784995983,Private room,24,2,27,2016-11-07,5.26,1,180
16632115,habitacion  en el raval centro bnc,58727943,Land,Ciutat Vella,el Raval,41.37856697563137,2.165458702026048,Private room,26,1,0,,,3,166
