id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3436535,Super Room A with 4 palm tree view,16699580,Constance,Ciutat Vella,el Raval,41.38509832950973,2.1699706153891647,Private room,29,2,139,2017-02-20,4.29,3,221
3346210,CENTRO DE BARCELONA RAMBLAS ,16890029,Maria Amalia,Ciutat Vella,el Raval,41.37716388512201,2.175140138612853,Private room,23,2,115,2017-03-01,3.49,1,94
13069699,Single bedroom with great sunlight,71429486,Ella,Ciutat Vella,el Raval,41.37354812235163,2.1761744280068043,Private room,19,5,5,2017-02-20,0.53,1,243
8369307,RAMBLAS PLAZA lovely room,44104547,Felix,Ciutat Vella,el Raval,41.384331188286396,2.169945834951498,Private room,80,2,73,2017-02-19,4.10,2,158
17467966,BCN - Center Double Room - 2,117517014,Claudio,Ciutat Vella,el Raval,41.376156855147116,2.1765193698868113,Private room,30,1,1,2017-03-02,1,1,87
14131615,Super Céntrico y Económico,6048193,Walter & Armando,Ciutat Vella,el Raval,41.3760709291315,2.1756322175774376,Private room,28,2,28,2017-02-01,3.96,3,8
8730794,Recién Re3 Apart delS.18 Núcleo Bcn,2125106,Isaac,Ciutat Vella,el Raval,41.384044691727695,2.1699152571827907,Entire home/apt,89,1,37,2017-02-25,2.59,4,39
11000253,Nice App right on  Las Ramblas !!,37201143,Coroama,Ciutat Vella,el Raval,41.378452119771445,2.1755812303515016,Entire home/apt,91,1,48,2017-03-05,3.74,2,154
259742,CityCenter - Double - FreeWIFI,1363244,David,Ciutat Vella,el Raval,41.38216736974197,2.163744984406694,Private room,35,2,34,2017-01-27,0.53,4,146
14336209,Céntrico y Económico,6048193,Walter & Armando,Ciutat Vella,el Raval,41.377609814256566,2.175748999706756,Private room,26,2,31,2017-02-19,5.11,3,16
14863255,Cozy flat in the center,9078005,Tanya,Ciutat Vella,el Raval,41.38412574266635,2.164654801417048,Entire home/apt,80,3,1,2016-10-31,0.24,9,75
9095219,COZY CENTRIC 2BD WITH LOVE,47420556,B-Mut,Ciutat Vella,el Raval,41.3784377789124,2.164473820237333,Entire home/apt,47,3,23,2017-03-02,1.43,2,297
12941130,fantastic room in the center,10531070,Julia,Ciutat Vella,el Raval,41.38422391445643,2.165125341689016,Private room,35,1,31,2017-02-19,3.18,26,337
17489701,Cozy Flat @Raval - San Antoni,51410499,Effie,Ciutat Vella,el Raval,41.379693317111666,2.1657321994071834,Entire home/apt,130,2,0,,,1,179
268651,wide room to rent in down town,135661,Amelia,Ciutat Vella,el Raval,41.378861320502,2.164579860025011,Private room,40,3,33,2017-02-19,0.56,1,315
11351897,Chambre lit simple/double,8630901,Ophelie,Ciutat Vella,el Raval,41.381164160943186,2.167058504975058,Private room,150,2,0,,,2,0
11231083,Apartamento 4 PAX2,55366754,ApartRamblas108,Ciutat Vella,el Raval,41.381802921412024,2.1726935370544553,Entire home/apt,250,2,4,2017-01-29,0.32,8,64
17542215,Piso acogedor en el centro de Barcelona,76897210,Lucía,Ciutat Vella,el Raval,41.379597079257444,2.1677703429672235,Entire home/apt,35,7,0,,,1,14
12528102,Habitación vistas espectaculares.,45101786,Carlos,Ciutat Vella,el Raval,41.37567846552319,2.1713547336635264,Private room,50,2,37,2017-01-02,3.51,1,128
10207573,CLOSE TO RAMBLAS! Great place!!!,52445046,Meri,Ciutat Vella,el Raval,41.376581289455764,2.1740791728741238,Private room,30,2,1,2016-09-24,0.18,1,211
3003812,TRIPLE PRIVATE ROOM/BALCONY,6741457,Mercy&Johan,Ciutat Vella,el Raval,41.38237878098189,2.165409170421209,Private room,30,1,157,2017-02-17,4.64,3,209
16447186,NIce Flat in the Rambla La Boqueria Metro Liceo,107875067,Remus,Ciutat Vella,el Raval,41.38107362086512,2.172792818731735,Entire home/apt,44,2,5,2017-02-15,2.21,2,365
14192229,This place centr Of Brc near rambla,86038453,Luis,Ciutat Vella,el Raval,41.379628991060336,2.1712395462849496,Private room,30,1,25,2017-02-27,3.38,1,69
14548958,Amazing double room in the heart of the city,13710553,Cristina,Ciutat Vella,el Raval,41.37736322910383,2.174535926037893,Private room,42,2,25,2017-02-14,4.19,1,96
7072131,Sunny room with balcony,24758058,Jo-Lynn,Ciutat Vella,el Raval,41.378098617095596,2.1720461038377112,Private room,38,1,76,2017-02-28,3.76,2,107
12238900,"Bright, Beautiful Double in El Gotic with Balcony",8340309,Sophie,Ciutat Vella,el Raval,41.37784140208436,2.1746370641530097,Private room,34,1,22,2017-02-16,2.05,2,155
