id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9716844,Santa Monica LAS RAMBLAS Barcelona,23850305,"BCN Rental Apartment, SL",Ciutat Vella,el Raval,41.37711554569493,2.176427169917666,Entire home/apt,100,1,75,2017-05-22,4.26,3,182
5404095,Spanish family host U/private WC,28012645,María,Ciutat Vella,el Raval,41.38046744490571,2.1737848598045737,Private room,60,1,151,2017-05-20,5.49,2,281
11697342,DOUBLE ROOM RAMBLA,3972894,Elias,Ciutat Vella,el Raval,41.379728637503646,2.1744390858168816,Private room,45,1,44,2017-05-19,3.18,2,265
17116982,Habitación grande y luminosa,114986263,Sergi,Ciutat Vella,el Raval,41.385077282507666,2.1669161614287837,Private room,62,2,22,2017-05-31,5.79,2,147
12941130,fantastic room in the center,10531070,Julia,Ciutat Vella,el Raval,41.38422391445643,2.165125341689016,Private room,35,1,52,2017-06-01,4.07,29,312
2610473,Cozy Rooms in Old town Barcelona - Metro Liceu,12980367,Sylvie,Ciutat Vella,el Raval,41.38026126643865,2.1683401889897054,Private room,85,3,83,2017-06-01,2.21,1,92
16929834,EXCLUSIVA HABITACION DOBLE BARCELONA CENTRO P,59029123,Gin,Ciutat Vella,el Raval,41.37946546298144,2.169291609213053,Private room,45,2,9,2017-05-25,2.55,4,351
18774119,!!!BARCELONA ¡¡¡¡SUPER ROOM CENTER PENTHOUSE,113030427,Carlos,Ciutat Vella,el Raval,41.38319741229697,2.1639837063496894,Private room,46,1,1,2017-05-22,1,4,324
13129042,Fantástica habitación con baño privado en centro,10531070,Julia,Ciutat Vella,el Raval,41.38382209735924,2.164271374744512,Private room,40,1,48,2017-06-01,3.86,29,346
14470889,Central&Cozy Double Bedroom + Free Breakfast(4),655279,John&Feran,Ciutat Vella,el Raval,41.38396631772777,2.1650145560707115,Private room,29,1,42,2017-05-11,4.50,5,287
19026517,Las Ramblas Barcelona,132768586,Ona Y Santiago,Ciutat Vella,el Raval,41.384641829301835,2.16730101426274,Entire home/apt,123,1,0,,,1,118
8368332,CENTRAL RAMBLAS lovely room,44104547,Felix,Ciutat Vella,el Raval,41.38400509749707,2.169380490473858,Private room,72,2,75,2017-05-08,3.65,2,152
10797041,Pleno Centro! La Rambla más famosa! Pl.Catalunia,41358759,Guilleana Y Jesus,Ciutat Vella,el Raval,41.378097438799735,2.1738155717463536,Private room,35,2,17,2017-05-28,1.59,1,355
1368985,Rent Rooms - Barcelona - Ramblas,7416756,Mario,Ciutat Vella,el Raval,41.38523749073636,2.169412869597717,Private room,45,1,199,2017-05-26,4.54,2,237
13611788,"A place near to the RAmbla ,but in a quite street",21686629,Anja,Ciutat Vella,el Raval,41.37749438837578,2.172310935990129,Private room,100,1,3,2016-06-23,0.26,1,89
18889298,"""Las Ramblas"" Renewed apartment in Citycenter",130464711,Adria,Ciutat Vella,el Raval,41.378466150445526,2.17369772787536,Entire home/apt,160,1,0,,,2,160
18727805,Tafí del Valle,130241298,Tucuman,Ciutat Vella,el Raval,41.38064678037005,2.1722208463714288,Private room,55,4,0,,,4,24
16946111,"Chambre à Rambla, au coeur de Barcelone",113288439,May,Ciutat Vella,el Raval,41.384166764139636,2.170410225423984,Private room,15,3,0,,,3,0
18248428,Habitación para parejas y grupos en la Rambla,126097631,Juanma Y Sara,Ciutat Vella,el Raval,41.38532577162019,2.1676159568416224,Private room,100,3,3,2017-05-21,3,1,318
16014462,"Double room , la rambla y Boqueiria market",41861686,Júlia,Ciutat Vella,el Raval,41.383176466388946,2.17123611818586,Private room,40,2,1,2017-02-27,0.28,1,4
17190066,COZY FLAT IN THE RAMBLAS,115706756,Elsa,Ciutat Vella,el Raval,41.37607450152195,2.1753987351263793,Entire home/apt,190,3,0,,,3,161
