id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16634143,HABITACION INDIVIDUAL!!!,57740396,Ri,Ciutat Vella,el Raval,41.38068057305063,2.1660119654908194,Private room,20,1,30,2017-08-05,7.14,3,255
14088178,Rambla del raval calle L'Aurora,84131315,Patricia,Ciutat Vella,el Raval,41.37825068485274,2.1675003784995983,Private room,38,1,47,2017-08-04,3.84,2,161
13410043,CONFORTABLE ROOM FOR TWO PEOPLE,76361824,Carlos,Ciutat Vella,el Raval,41.37718686133711,2.1722834697791833,Private room,42,1,65,2017-07-11,4.63,1,137
8369307,RAMBLAS PLAZA lovely room,44104547,Felix,Ciutat Vella,el Raval,41.384331188286396,2.169945834951498,Private room,90,2,98,2017-07-22,4.27,2,152
17873771,"BUGDET DUPLEX FAMILIES AND GROUPS, BEST LOCATION",122330192,Adrián,Ciutat Vella,el Raval,41.37953268569115,2.1660792954995434,Entire home/apt,79,1,5,2017-07-21,1.17,2,302
512368,SUNNY ROOM,1687383,Juanmi,Ciutat Vella,el Raval,41.375637185136604,2.1700122482899613,Private room,19,14,24,2016-12-08,0.41,1,289
16929834,EXCLUSIVA HABITACION DOBLE BARCELONA CENTRO P,59029123,Gin,Ciutat Vella,el Raval,41.37946546298144,2.169291609213053,Private room,45,2,16,2017-08-02,2.84,4,337
18993772,Cozy loft in Raval,83862318,Vic,Ciutat Vella,el Raval,41.37997237649357,2.1650029525994956,Private room,60,5,6,2017-07-29,2.81,2,94
18146952,City Centre - 10 minutes to La Rambla,96780876,Kuthan,Ciutat Vella,el Raval,41.3813977108594,2.1687288090453705,Private room,63,1,0,,,2,0
6605458,Room in center of BCN. El Raval.,34087272,Rama,Ciutat Vella,el Raval,41.379544673616174,2.164284721944332,Private room,29,1,54,2017-07-17,2.11,5,324
20241270,Room La Rambla,144255950,Davit,Ciutat Vella,el Raval,41.38074774936123,2.172117858833009,Private room,30,7,0,,,1,21
7465343,lovely home in Barcelona center,2037915,Virginie,Ciutat Vella,el Raval,41.37806874545362,2.1660900382324675,Entire home/apt,85,4,72,2017-07-25,3.75,1,307
7269996,"PRETTY SINGLE ROOM NEAR PORT,RAMBLAS,BEACH,GOTICO.",24282359,Daniel,Ciutat Vella,el Raval,41.37503540992251,2.1761607518195127,Private room,25,3,5,2017-07-30,0.33,7,356
13228038,Nice apartment with double bedrooms next to Rambla,12168620,Alexander,Ciutat Vella,el Raval,41.3825936457563,2.1691783596203034,Entire home/apt,150,1,59,2017-07-22,4.06,1,333
19648116,CARME - RAMBLAS,138298146,Mónica,Ciutat Vella,el Raval,41.38120873705483,2.1688348792646535,Entire home/apt,50,3,0,,,1,127
10541043,LOVELY DOUBLE ROOM IN BCN CITY PORT,24282359,Daniel,Ciutat Vella,el Raval,41.37585720024097,2.1748889140526533,Private room,50,1,7,2017-07-19,0.47,7,354
19784872,House happy Ping,139606682,Wendy,Ciutat Vella,el Raval,41.37807867620585,2.1746732530446535,Private room,40,2,6,2017-08-02,6,1,64
3129932,Barcelona old town doble room,15894834,Martyna,Ciutat Vella,el Raval,41.37880230420831,2.165752703493505,Private room,40,1,7,2017-07-16,0.18,1,0
17414533,Vistalegre House,117767417,Dario & Adrian,Ciutat Vella,el Raval,41.379224729433155,2.1666105732048795,Private room,55,1,15,2017-08-04,3.52,2,351
16890150,Habitación doble en el Raval,47491355,Mechi,Ciutat Vella,el Raval,41.38192032551199,2.1702874167824477,Private room,45,3,17,2017-07-17,2.77,1,17
12769961,One Room in center of BCN. El Raval,34087272,Rama,Ciutat Vella,el Raval,41.37874763025746,2.1649219552065793,Private room,50,1,10,2017-02-26,0.72,5,351
17556519,Habitacion en centro de  Barcelona,119149920,Maria,Ciutat Vella,el Raval,41.37736698580156,2.1694179382169088,Private room,40,1,18,2017-07-31,3.75,2,334
6890966,CENTER OF BARCELONA!! Double room!!,8621858,Amanda,Ciutat Vella,el Raval,41.37772709862825,2.1711766542964024,Private room,61,2,111,2017-07-21,4.78,1,300
19380354,Private single room one or two pax Next to Rambla,40305055,Alfonso,Ciutat Vella,el Raval,41.383307582041084,2.1699842538178364,Private room,40,1,2,2017-07-24,1.43,6,357
12171448,"Big Room, Center Near Ramblas, Bcn.",42686705,Carlos,Ciutat Vella,el Raval,41.38165356869785,2.169541305380591,Private room,44,3,28,2017-07-24,1.78,2,131
7913468,"RAMBLAS BOQUERIA, WALK EVERYWHERE!!",41726982,Mateo  Zully,Ciutat Vella,el Raval,41.379322158543836,2.1676946026782593,Entire home/apt,69,2,116,2017-08-06,4.95,1,270
1304470,COZY ROOM IN THE CENTRE (RAMBLAS),7091581,Fabrizio,Ciutat Vella,el Raval,41.38179941352133,2.170974858599399,Private room,60,1,241,2017-07-31,4.90,2,260
763465,Very Nice Room to rent in Raval ,4024608,Ignacio,Ciutat Vella,el Raval,41.379003768731124,2.1656180719537166,Private room,30,1,0,,,1,0
16116126,Roof apartment 1 bedroom +1 bathroom,104876399,Charmsuites,Ciutat Vella,el Raval,41.37516475561652,2.168042000922667,Entire home/apt,170,1,1,2017-03-05,0.19,11,285
20242524,Acogedora habitación doble. Centro de Barcelona.,144259310,Aroa,Ciutat Vella,el Raval,41.381042462452164,2.1661209436331297,Private room,30,3,0,,,2,283
8249976,Barcelona's Heart,43505134,Baleska,Ciutat Vella,el Raval,41.379041514792384,2.1724576488687237,Private room,40,1,67,2017-07-17,2.94,3,267
13883094,Habitacion luminosa en pleno raval,31417173,Carolina,Ciutat Vella,el Raval,41.37519848359196,2.168960925599659,Private room,50,1,21,2017-07-19,1.73,1,354
2938860,PRIVATE DOUBLE ROOM WITH BATHROOM,15005753,Pep,Ciutat Vella,el Raval,41.376824203762276,2.16577502717085,Private room,60,2,87,2017-07-31,5.02,1,295
12695395,Nice room in Barcelona centre,55394382,Loren,Ciutat Vella,el Raval,41.37986858292281,2.1644621367045755,Private room,60,1,0,,,1,0
13947062,comfy & afordable room in the center of Barcelona,83000109,Simone,Ciutat Vella,el Raval,41.37799089875999,2.16566650357785,Private room,25,1,7,2017-07-18,4.12,1,316
18218527,Habitación doble centro Barcelona,125799706,Carmen,Ciutat Vella,el Raval,41.37796968000814,2.1678137251838856,Private room,50,3,3,2017-07-13,0.91,1,339
18344224,Beautifull apartment in the Heart of Barcelona!,126898376,Nadine,Ciutat Vella,el Raval,41.379951751905494,2.1646257354415526,Entire home/apt,116,2,15,2017-07-19,4.46,1,144
20247243,APARTAMENTO Acogedor y Elegante 2º 1ª,144298710,Luna,Ciutat Vella,el Raval,41.38028921832076,2.1652228496649895,Entire home/apt,100,2,0,,,2,44
17569232,Double room with Balcony next to Ramblas & Beach,119290853,Omar&Iris,Ciutat Vella,el Raval,41.377545690608265,2.1730131171805285,Private room,46,4,17,2017-07-22,4.29,3,3
7669665,Double Bedroom in Paralelo,16779984,Guillaume Y Jose,Ciutat Vella,el Raval,41.37657290776837,2.168827055218263,Private room,25,1,119,2017-07-31,4.90,1,330
9836073,Cosy fully furnished studio,49719805,Paolo,Ciutat Vella,el Raval,41.38136003279786,2.1680630406142787,Entire home/apt,40,1,1,2015-12-27,0.05,1,0
7739371,Cosy room in Barcelona center,28004234,Fabien,Ciutat Vella,el Raval,41.38222797040418,2.1642431036026086,Private room,25,2,0,,,1,0
10032697,Skateboard House -side of Macba BCN,51083725,Caio,Ciutat Vella,el Raval,41.381736005212495,2.1659152033136357,Private room,25,20,23,2017-07-02,1.23,2,292
15730809,Great apartment 200m from Rambla with WIFI,101636716,Yevhen,Ciutat Vella,el Raval,41.379158805953196,2.171578554078782,Entire home/apt,45,2,43,2017-07-15,4.71,1,249
18483416,Cosy single bed in a charmig house!,121078134,Pau,Ciutat Vella,el Raval,41.37979561513408,2.166988500614265,Private room,20,2,4,2017-06-27,1.38,2,255
19990763,chambre centre Barcelone,141198909,Nicolas,Ciutat Vella,el Raval,41.37747579790074,2.1728687157137587,Private room,25,1,0,,,2,15
6816763,Bright Double Room in the center of BCN for 2,33048789,Karina,Ciutat Vella,el Raval,41.37615868490785,2.1691201199601715,Private room,34,1,102,2017-07-22,3.93,3,319
7740812,Sunny central Double room,1688179,Monique,Ciutat Vella,el Raval,41.38343662892204,2.1682226126665114,Private room,39,13,0,,,1,57
14451126,Cozy double bedroom with terrace,27520277,Alex,Ciutat Vella,el Raval,41.378262541448635,2.164386047188258,Private room,51,3,8,2017-07-02,0.73,3,189
7144928,Double Room in Hip Neighborhood,36948378,Freddie,Ciutat Vella,el Raval,41.38450907034189,2.1659187806364875,Private room,80,2,86,2017-07-16,3.39,2,61
1051301,"5 MINUTES LA RAMBLA, LUMINOUS,BALCONY, METRO L2-L3",5404703,Eduardo,Ciutat Vella,el Raval,41.379661571610946,2.16517388156041,Entire home/apt,45,32,13,2016-04-20,0.25,1,360
20055136,"Apartment in the Old City Barcelona, Universitat",142497399,﻿﻿Jaime,Ciutat Vella,el Raval,41.38545999063784,2.1673629150660574,Entire home/apt,170,4,0,,,1,83
13244342,Apartment city center,22059065,Juan,Ciutat Vella,el Raval,41.37740902259973,2.1758221763511014,Entire home/apt,180,2,38,2017-07-30,3.56,2,310
393717,Cosy apartment near Las Ramblas,1968590,Manel,Ciutat Vella,el Raval,41.37888415952803,2.1674368154827657,Entire home/apt,95,2,167,2017-07-31,2.66,1,283
3214078,Spacious Apartment just by Las Ramblas,2108468,Carlotta,Ciutat Vella,el Raval,41.379502460666835,2.174667859061028,Entire home/apt,165,2,14,2017-07-29,0.47,7,264
18087949,"FOR FAMILIES 3 BEDROOMS APARTMENT, plaza Catalunya",115962991,Roberto,Ciutat Vella,el Raval,41.38139845693888,2.165514610472271,Entire home/apt,199,2,10,2017-07-30,3.03,1,346
16908825,Two bedroom flat in Sant Antoni/BCN,112880864,Eli,Ciutat Vella,el Raval,41.38200399207573,2.1656097562491192,Entire home/apt,52,2,23,2017-07-13,3.99,1,241
17433751,"Bcn-rentals Old town 4 , 6 minutes from Ramblas",117890550,Sandra,Ciutat Vella,el Raval,41.37913315729083,2.1688224227164277,Entire home/apt,185,6,3,2017-07-16,0.97,4,291
13110180,"Amazing Small Apartment in Raval, up to 4 Guests",940619,Mathias&Aida,Ciutat Vella,el Raval,41.38190858721286,2.1646157293575365,Entire home/apt,70,6,27,2017-07-21,1.97,1,79
10748354,MWC APARTMENT,14374940,Yoe,Ciutat Vella,el Raval,41.38102604249296,2.168981321107114,Entire home/apt,150,1,0,,,1,154
19991519,Family Room,119519211,Hana,Ciutat Vella,el Raval,41.38423007528235,2.1702400194082383,Private room,65,2,1,2017-08-01,1,3,68
6184600,Bright New @Eclectic Raval &Ramblas,1893978,Tizz,Ciutat Vella,el Raval,41.38069172990382,2.1709002394352046,Private room,69,2,87,2017-07-29,3.20,2,334
10095089,Charm and comfort place.,45444274,Santiago,Ciutat Vella,el Raval,41.37964596977002,2.1731652704729676,Entire home/apt,170,1,3,2016-05-01,0.17,1,0
