id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20029974,Moyenne chambre Sagrada familia,140579111,Stephan,Eixample,la Sagrada Família,41.40641336629074,2.181989311297719,Private room,34,1,3,2017-08-21,2.57,3,315
18456957,Sagrada Familia - Habitación luminosa y alegre,6451715,Gustavo,Eixample,la Sagrada Família,41.40655186100937,2.179103627919699,Private room,65,1,12,2017-09-06,6.00,2,67
1809649,Big bright room Sagrada Familia,7938626,Sebastian And Valerie,Eixample,la Sagrada Família,41.40365257068098,2.1781224626801206,Private room,49,2,33,2017-08-16,1.18,1,34
15047966,Double Room with Balcony at Sagrada Familia,30061314,Anton,Eixample,la Sagrada Família,41.40632932531608,2.1737471352292346,Private room,35,1,1,2017-04-16,0.20,1,0
19832016,Comfortable  and Quiet  Room for 2 guests,117482164,Carmelo,Eixample,la Sagrada Família,41.40286793108303,2.1770192572862594,Private room,55,2,1,2017-08-26,1,2,170
19635359,Single room near Sagrada Familia,5170788,Raquel,Eixample,la Sagrada Família,41.40246490638377,2.1751877726139606,Private room,30,2,4,2017-08-10,2.14,1,72
17407000,Crazy and Nice people option 2,54400318,Gabi,Eixample,la Sagrada Família,41.40221321684634,2.17731758382323,Private room,30,2,23,2017-08-17,3.77,3,169
5937896,Flat for 6 near Sagrada Familia,1391607,Greg,Eixample,la Sagrada Família,41.4035850277097,2.177849702480424,Entire home/apt,110,3,21,2017-05-26,0.73,88,308
1677706,Gaudí's Mansard (Sag. Familia) WIFI,8876390,Enric & Packo,Eixample,la Sagrada Família,41.40539759261803,2.1727917972081774,Entire home/apt,49,3,251,2017-08-26,5.20,2,314
19241534,habitación amplia y acogedora,89489643,Pochita,Eixample,la Sagrada Família,41.41039145708304,2.175078852568578,Private room,36,3,4,2017-08-21,1.85,1,161
4497508,Cosy double room Sagrada Familia,1315661,Mihkel,Eixample,la Sagrada Família,41.402577093708445,2.17107403119772,Private room,39,1,105,2017-09-01,3.09,1,334
8757334,Sagrada Familia at your doorstep,5337036,Andrea,Eixample,la Sagrada Família,41.40610349628766,2.178733677790576,Entire home/apt,80,3,85,2017-08-25,3.61,2,298
6775934,Vistas Sagrada Familia,35472131,Isi,Eixample,la Sagrada Família,41.40315432743514,2.1726277787095296,Private room,70,1,0,,,1,365
12688959,Double room in Sagrada Familia,68967347,Sara,Eixample,la Sagrada Família,41.406906699437286,2.17844166057581,Private room,40,3,31,2017-08-21,1.93,1,340
10919397,"Cozy double room in Sagrada Família, city centre",7503624,Jordi,Eixample,la Sagrada Família,41.40099902016801,2.1768968738305743,Private room,28,1,65,2017-08-29,5.70,3,29
9805219,3 bedroom Mallorca Apartment,299462,Enrique,Eixample,la Sagrada Família,41.40179956152674,2.173323637479876,Entire home/apt,350,4,50,2017-09-02,2.86,73,346
11311473,Double room in big duplex flat + gym& huge terrace,15388581,Vahri,Eixample,la Sagrada Família,41.40937642372305,2.1753355841541326,Private room,160,3,0,,,1,0
8285876,Piso al lado de la Sagrada Familia,43687105,Andrea,Eixample,la Sagrada Família,41.40640967410323,2.175308557386606,Entire home/apt,95,3,0,,,1,0
15769372,"Lovley, private double room in Sagrada Familia",57183113,Malin And Mathias,Eixample,la Sagrada Família,41.40855293503303,2.178010445350586,Private room,30,2,51,2017-08-28,5.07,2,1
17471210,"Las Terrazas, Friendly Rentals",102947901,Claudia,Eixample,la Sagrada Família,41.40761707822768,2.1703699546035566,Entire home/apt,80,1,0,,,112,316
17471166,"Gaudi Dream, Friendly Rentals",102947901,Claudia,Eixample,la Sagrada Família,41.40551165112705,2.173218227498365,Entire home/apt,74,1,1,2017-07-16,0.51,112,311
824902,Sagrada Familia.,4236308,Germán,Eixample,la Sagrada Família,41.410320158404026,2.1751816425104167,Entire home/apt,72,3,85,2017-09-02,1.54,2,312
19044613,Single room in new Apt. Excellent location!,66517702,Bernarda,Eixample,la Sagrada Família,41.407214455658135,2.1782356505638796,Private room,38,2,16,2017-09-09,6.00,2,73
