id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16252839,Modern & cozy apartment in the heart of Barcelona,54357037,Anton,Ciutat Vella,el Raval,41.37980999909159,2.1644758778101103,Entire home/apt,120,6,10,2017-08-06,1.36,1,0
18021310,Alojamiento en pleno centro de Barcelona,11407415,Alfio,Ciutat Vella,el Raval,41.380575316265215,2.169933477551181,Entire home/apt,100,2,21,2017-09-03,4.06,1,161
8125241,Casa Luis en Barcelone,42906962,Luis,Ciutat Vella,el Raval,41.379878505635986,2.1700195776683096,Private room,45,30,15,2017-08-14,0.81,8,58
4255365,"Cozy room in the center,",4112948,Lucía,Ciutat Vella,el Raval,41.38130564291026,2.1714318587946284,Private room,60,1,3,2016-07-07,0.15,1,316
119546,BCN HUGEROOM DTOWN PRIVATE BATHROOM.,603336,Kiko,Ciutat Vella,el Raval,41.379692061280274,2.1653179757634784,Private room,65,3,213,2017-10-02,2.75,1,346
18869474,211 Centric Apartment MACBA I,128959838,Jordi,Ciutat Vella,el Raval,41.3814798964519,2.1658704882684514,Entire home/apt,156,1,3,2017-07-13,0.41,62,293
19918005,"CALM,SUNNY PENTHOUSE WITH GREEN TERRACE!",96646944,Pent,Ciutat Vella,el Raval,41.38214592086716,2.1702384592739965,Entire home/apt,200,4,4,2017-10-01,1.74,1,26
20376716,Habitación individual en el centro de Barcelona,145320379,Jazz,Ciutat Vella,el Raval,41.37768117447839,2.170833221594252,Private room,30,1,10,2017-09-30,5.88,2,348
17756979,Cosy double bed in a charmig house!,121078134,Pau,Ciutat Vella,el Raval,41.37704592784746,2.1686542957288415,Private room,40,2,28,2017-09-18,4.57,2,354
18869351,217 Centric Apartment Macba VII,128959838,Jordi,Ciutat Vella,el Raval,41.38301570006997,2.1674183144800474,Entire home/apt,230,1,1,,0.14,62,332
18869357,219 Centric Apartment MACBA,128959838,Jordi,Ciutat Vella,el Raval,41.381672261526056,2.167205482131527,Entire home/apt,230,1,1,2017-09-15,1,62,329
18869354,218 centric apartment macba viii,128959838,Jordi,Ciutat Vella,el Raval,41.38278623379781,2.1657789562811067,Entire home/apt,270,1,1,2017-08-12,0.53,62,349
