id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19630968,Habitaccion pequeña L'Aurora,84131315,Patricia,Ciutat Vella,el Raval,41.37979250493647,2.1677364100158605,Private room,16,1,15,2017-10-30,3.81,2,88
20318248,King Peace in the Raval,24222016,My Friends House,Ciutat Vella,el Raval,41.38158011067561,2.1697645698432617,Private room,120,1,0,,,6,46
20073951,Triple room in Heart of Barcelona***** 2B,142690750,Lu,Ciutat Vella,el Raval,41.380406164613085,2.167631686750849,Private room,85,2,7,2017-09-11,2.02,4,365
21403361,Boho studio,146128804,Lucia,Ciutat Vella,el Raval,41.381772243849504,2.1636371518711597,Entire home/apt,31,1,0,,,1,19
16704960,Cozy bedroom in city centre,79236443,Ally,Ciutat Vella,el Raval,41.38200898110474,2.1646964034725076,Private room,40,3,0,,,3,84
1366871,Rent Rooms - Barcelona - Ramblas,7416756,Mario,Ciutat Vella,el Raval,41.385133375070886,2.1694548791250656,Private room,35,1,271,2017-10-31,5.26,2,338
20611133,Habitación privada al lado de ramblas.,5790758,Pere,Ciutat Vella,el Raval,41.375198487020704,2.1726389406189175,Private room,50,1,3,2017-10-01,1.20,1,363
21496682,Habitación bien ubicada en centro de Barcelona,20233129,Gabriela,Ciutat Vella,el Raval,41.377538643250716,2.168937631989339,Private room,40,1,0,,,1,18
9226891,PECULIAR CHEAP PENTHOUSE 2 TERRACES,10715954,Nico,Ciutat Vella,el Raval,41.38371315117167,2.1649798028688,Entire home/apt,70,3,22,2017-08-21,1.11,1,121
18869364,237 Las Ramblas Balcony,128959838,Jordi,Ciutat Vella,el Raval,41.380730033763726,2.1723803099287258,Entire home/apt,184,1,6,2017-10-20,0.19,61,337
19537569,Friendly Double Room in Perfect Location!,137232269,Lucas,Ciutat Vella,el Raval,41.382399758776145,2.169358159875649,Private room,50,3,11,2017-09-27,2.41,1,18
10993885,Amazing place with a terrace,2122530,Maryna,Ciutat Vella,el Raval,41.37768359911982,2.171245275067604,Private room,158,4,0,,,1,0
21545049,Appartement lumineux à Barcelone centre,156334485,Jocelyne,Ciutat Vella,el Raval,41.38460150208236,2.165389710441894,Entire home/apt,67,1,0,,,5,67
19511698,AMAZING CENTRAL FLAT 2A,133553691,Frank & Adri,Ciutat Vella,el Raval,41.37973021190422,2.1642087711343048,Entire home/apt,79,1,5,2017-10-27,1.61,10,330
20584828,Rustic apartment 1 min Ramblas,3358918,Catherine,Ciutat Vella,el Raval,41.37972906015403,2.173585881480597,Entire home/apt,119,30,0,,,3,346
16954559,Habitación individual en Macba,110919615,Alba,Ciutat Vella,el Raval,41.379780784023204,2.1637543719820576,Private room,15,2,29,2017-09-30,3.99,1,169
6741337,"90m2 Céntrico, reformado con estilo",23451615,Albert,Ciutat Vella,el Raval,41.38405901992338,2.1650205658970525,Entire home/apt,275,3,40,2017-09-25,1.43,1,365
4212985,Apartment Ramblas 6 - Palou Suites,21825503,Palou Suites,Ciutat Vella,el Raval,41.37791377576866,2.1739467667507033,Entire home/apt,99,2,35,2017-10-27,1.31,12,224
