month,neighbourhood,review_sum
2018-01,Baró de Viver,15
2018-01,Camp d'en Grassot i Gràcia Nova,9026
2018-01,Can Baro,1428
2018-01,Carmel,1710
2018-01,Ciutat Vella,529
2018-01,Diagonal Mar - La Mar Bella,2713
2018-01,Dreta de l'Eixample,51384
2018-01,Eixample,2220
2018-01,El Baix Guinardó,3438
2018-01,El Besòs i el Maresme,3979
2018-01,El Bon Pastor,109
2018-01,El Born,17775
2018-01,El Camp de l'Arpa del Clot,6309
2018-01,El Clot,3631
2018-01,El Coll,1352
2018-01,El Congrés i els Indians,277
2018-01,El Gòtic,38688
2018-01,El Poble-sec,33116
2018-01,El Poblenou,11356
2018-01,El Putget i Farró,3853
2018-01,El Raval,48319
2018-01,Glòries - El Parc,9101
2018-01,Gràcia,290
2018-01,Guinardó,5232
2018-01,Horta,976
2018-01,Horta-Guinardó,45
2018-01,L'Antiga Esquerra de l'Eixample,20917
2018-01,La Barceloneta,4800
2018-01,La Font d'en Fargues,104
2018-01,La Guineueta - Canyelles,273
2018-01,La Maternitat i Sant Ramon,5987
2018-01,La Nova Esquerra de l'Eixample,27653
2018-01,La Prosperitat,157
2018-01,La Sagrada Família,33714
2018-01,La Sagrera,1378
2018-01,La Salut,2540
2018-01,La Teixonera,324
2018-01,La Trinitat Vella,10
2018-01,La Vall d'Hebron,73
2018-01,La Verneda i La Pau,1388
2018-01,La Vila Olímpica,4365
2018-01,Les Corts,5366
2018-01,Les Tres Torres,405
2018-01,Montbau,234
2018-01,Navas,1632
2018-01,Nou Barris,232
2018-01,Pedralbes,606
2018-01,Porta,770
2018-01,Provençals del Poblenou,2566
2018-01,Sant Andreu,307
2018-01,Sant Andreu de Palomar,1419
2018-01,Sant Antoni,28345
2018-01,Sant Genís dels Agudells,537
2018-01,Sant Gervasi - Galvany,5383
2018-01,Sant Gervasi - la Bonanova,810
2018-01,Sant Martí,1807
2018-01,Sant Martí de Provençals,2277
2018-01,Sant Pere/Santa Caterina,14763
2018-01,Sants-Montjuïc,33761
2018-01,Sarrià,1146
2018-01,Sarrià-Sant Gervasi,0
2018-01,Torre Baró,256
2018-01,Trinitat Nova,149
2018-01,Turó de la Peira - Can Peguera,445
2018-01,Vallcarca i els Penitents,2940
2018-01,Verdum - Los Roquetes,503
2018-01,Vila de Gràcia,32929
2018-01,Vilapicina i la Torre Llobeta,1161
2018-01,el Fort Pienc,15556
2018-02,Baró de Viver,18
2018-02,Camp d'en Grassot i Gràcia Nova,9510
2018-02,Can Baro,1498
2018-02,Carmel,1722
2018-02,Ciutat Vella,611
2018-02,Diagonal Mar - La Mar Bella,2735
2018-02,Dreta de l'Eixample,52618
2018-02,Eixample,2251
2018-02,El Baix Guinardó,3434
2018-02,El Besòs i el Maresme,3883
2018-02,El Bon Pastor,95
2018-02,El Born,17607
2018-02,El Camp de l'Arpa del Clot,6331
2018-02,El Clot,3631
2018-02,El Coll,1408
2018-02,El Congrés i els Indians,282
2018-02,El Gòtic,38472
2018-02,El Poble-sec,33787
2018-02,El Poblenou,11746
2018-02,El Putget i Farró,3932
2018-02,El Raval,47247
2018-02,Glòries - El Parc,9203
2018-02,Gràcia,304
2018-02,Guinardó,5049
2018-02,Horta,971
2018-02,Horta-Guinardó,47
2018-02,L'Antiga Esquerra de l'Eixample,21316
2018-02,La Barceloneta,4828
2018-02,La Font d'en Fargues,105
2018-02,La Guineueta - Canyelles,277
2018-02,La Maternitat i Sant Ramon,3643
2018-02,La Nova Esquerra de l'Eixample,28142
2018-02,La Prosperitat,159
2018-02,La Sagrada Família,34507
2018-02,La Sagrera,1311
2018-02,La Salut,2606
2018-02,La Teixonera,314
2018-02,La Trinitat Vella,3
2018-02,La Vall d'Hebron,69
2018-02,La Verneda i La Pau,1327
2018-02,La Vila Olímpica,4544
2018-02,Les Corts,4138
2018-02,Les Tres Torres,404
2018-02,Montbau,229
2018-02,Navas,1508
2018-02,Nou Barris,131
2018-02,Pedralbes,439
2018-02,Porta,774
2018-02,Provençals del Poblenou,2437
2018-02,Sant Andreu,2
2018-02,Sant Andreu de Palomar,1344
2018-02,Sant Antoni,29076
2018-02,Sant Genís dels Agudells,572
2018-02,Sant Gervasi - Galvany,5296
2018-02,Sant Gervasi - la Bonanova,820
2018-02,Sant Martí,251
2018-02,Sant Martí de Provençals,2205
2018-02,Sant Pere/Santa Caterina,14810
2018-02,Sants-Montjuïc,30359
2018-02,Sarrià,1097
2018-02,Sarrià-Sant Gervasi,2
2018-02,Torre Baró,256
2018-02,Trinitat Nova,151
2018-02,Turó de la Peira - Can Peguera,456
2018-02,Vallcarca i els Penitents,2785
2018-02,Verdum - Los Roquetes,519
2018-02,Vila de Gràcia,33355
2018-02,Vilapicina i la Torre Llobeta,1127
2018-02,el Fort Pienc,15536
2018-04,Baró de Viver,29
2018-04,Camp d'en Grassot i Gràcia Nova,9640
2018-04,Can Baro,1526
2018-04,Carmel,1888
2018-04,Ciutat Vella,658
2018-04,Diagonal Mar - La Mar Bella,2988
2018-04,Dreta de l'Eixample,55813
2018-04,Eixample,2204
2018-04,El Baix Guinardó,3820
2018-04,El Besòs i el Maresme,4489
2018-04,El Bon Pastor,98
2018-04,El Born,16678
2018-04,El Camp de l'Arpa del Clot,6449
2018-04,El Clot,3607
2018-04,El Coll,1516
2018-04,El Congrés i els Indians,400
2018-04,El Gòtic,41185
2018-04,El Poble-sec,36690
2018-04,El Poblenou,12266
2018-04,El Putget i Farró,4006
2018-04,El Raval,49812
2018-04,Glòries - El Parc,8913
2018-04,Gràcia,311
2018-04,Guinardó,5348
2018-04,Horta,1048
2018-04,Horta-Guinardó,50
2018-04,L'Antiga Esquerra de l'Eixample,21996
2018-04,La Barceloneta,5779
2018-04,La Font d'en Fargues,81
2018-04,La Guineueta - Canyelles,284
2018-04,La Maternitat i Sant Ramon,6300
2018-04,La Nova Esquerra de l'Eixample,29320
2018-04,La Prosperitat,208
2018-04,La Sagrada Família,36064
2018-04,La Sagrera,1405
2018-04,La Salut,2730
2018-04,La Teixonera,323
2018-04,La Trinitat Vella,7
2018-04,La Vall d'Hebron,72
2018-04,La Verneda i La Pau,1535
2018-04,La Vila Olímpica,4889
2018-04,Les Corts,6248
2018-04,Les Tres Torres,385
2018-04,Montbau,245
2018-04,Navas,1644
2018-04,Nou Barris,216
2018-04,Pedralbes,660
2018-04,Porta,677
2018-04,Provençals del Poblenou,2591
2018-04,Sant Andreu,341
2018-04,Sant Andreu de Palomar,1410
2018-04,Sant Antoni,30060
2018-04,Sant Genís dels Agudells,598
2018-04,Sant Gervasi - Galvany,5756
2018-04,Sant Gervasi - la Bonanova,811
2018-04,Sant Martí,1789
2018-04,Sant Martí de Provençals,2348
2018-04,Sant Pere/Santa Caterina,15851
2018-04,Sants-Montjuïc,36507
2018-04,Sarrià,1128
2018-04,Sarrià-Sant Gervasi,8
2018-04,Torre Baró,269
2018-04,Trinitat Nova,167
2018-04,Turó de la Peira - Can Peguera,494
2018-04,Vallcarca i els Penitents,2266
2018-04,Verdum - Los Roquetes,539
2018-04,Vila de Gràcia,34889
2018-04,Vilapicina i la Torre Llobeta,1319
2018-04,el Fort Pienc,16317
2018-05,Eixample,300056
2018-05,El Putget i Farró,572
2018-05,Glòries - El Parc,322
2018-05,Gràcia,6903
2018-05,Horta-Guinardó,41121
2018-05,La Barceloneta,8968
2018-05,Les Corts,307
2018-05,Nou Barris,3090
2018-05,Sant Andreu,34810
2018-05,Sant Martí,138532
2018-05,Sants-Montjuïc,18514
2018-05,Sarrià-Sant Gervasi,3159
2018-06,Baró de Viver,47
2018-06,Camp d'en Grassot i Gràcia Nova,10167
2018-06,Can Baro,1574
2018-06,Carmel,1699
2018-06,Ciutat Vella,500
2018-06,Diagonal Mar - La Mar Bella,2863
2018-06,Dreta de l'Eixample,56668
2018-06,Eixample,2020
2018-06,El Baix Guinardó,3840
2018-06,El Besòs i el Maresme,4344
2018-06,El Bon Pastor,41
2018-06,El Born,12684
2018-06,El Camp de l'Arpa del Clot,6727
2018-06,El Clot,3664
2018-06,El Coll,1438
2018-06,El Congrés i els Indians,338
2018-06,El Gòtic,35904
2018-06,El Poble-sec,35825
2018-06,El Poblenou,12981
2018-06,El Putget i Farró,3888
2018-06,El Raval,43206
2018-06,Glòries - El Parc,8705
2018-06,Gràcia,330
2018-06,Guinardó,4711
2018-06,Horta,1168
2018-06,Horta-Guinardó,42
2018-06,L'Antiga Esquerra de l'Eixample,22105
2018-06,La Barceloneta,5097
2018-06,La Font d'en Fargues,94
2018-06,La Guineueta - Canyelles,312
2018-06,La Maternitat i Sant Ramon,3691
2018-06,La Nova Esquerra de l'Eixample,28365
2018-06,La Prosperitat,214
2018-06,La Sagrada Família,36213
2018-06,La Sagrera,1473
2018-06,La Salut,2784
2018-06,La Teixonera,360
2018-06,La Trinitat Vella,3
2018-06,La Vall d'Hebron,81
2018-06,La Verneda i La Pau,1590
2018-06,La Vila Olímpica,4180
2018-06,Les Corts,4237
2018-06,Les Tres Torres,448
2018-06,Montbau,275
2018-06,Navas,1673
2018-06,Nou Barris,185
2018-06,Pedralbes,524
2018-06,Porta,657
2018-06,Provençals del Poblenou,2760
2018-06,Sant Andreu,0
2018-06,Sant Andreu de Palomar,1508
2018-06,Sant Antoni,29498
2018-06,Sant Genís dels Agudells,481
2018-06,Sant Gervasi - Galvany,5676
2018-06,Sant Gervasi - la Bonanova,811
2018-06,Sant Martí,209
2018-06,Sant Martí de Provençals,2294
2018-06,Sant Pere/Santa Caterina,12635
2018-06,Sants-Montjuïc,31088
2018-06,Sarrià,1138
2018-06,Sarrià-Sant Gervasi,4
2018-06,Torre Baró,304
2018-06,Trinitat Nova,179
2018-06,Turó de la Peira - Can Peguera,406
2018-06,Vallcarca i els Penitents,2540
2018-06,Verdum - Los Roquetes,639
2018-06,Vila de Gràcia,33437
2018-06,Vilapicina i la Torre Llobeta,1312
2018-06,el Fort Pienc,16601
2018-07,Baró de Viver,51
2018-07,Camp d'en Grassot i Gràcia Nova,10366
2018-07,Can Baro,1598
2018-07,Carmel,1812
2018-07,Ciutat Vella,510
2018-07,Diagonal Mar - La Mar Bella,3067
2018-07,Dreta de l'Eixample,58845
2018-07,Eixample,2088
2018-07,El Baix Guinardó,4277
2018-07,El Besòs i el Maresme,4522
2018-07,El Bon Pastor,56
2018-07,El Born,12968
2018-07,El Camp de l'Arpa del Clot,6967
2018-07,El Clot,4018
2018-07,El Coll,1518
2018-07,El Congrés i els Indians,469
2018-07,El Gòtic,36469
2018-07,El Poble-sec,38261
2018-07,El Poblenou,13447
2018-07,El Putget i Farró,4181
2018-07,El Raval,44407
2018-07,Glòries - El Parc,8870
2018-07,Gràcia,341
2018-07,Guinardó,5504
2018-07,Horta,1227
2018-07,Horta-Guinardó,51
2018-07,L'Antiga Esquerra de l'Eixample,23139
2018-07,La Barceloneta,5225
2018-07,La Font d'en Fargues,102
2018-07,La Guineueta - Canyelles,342
2018-07,La Maternitat i Sant Ramon,4011
2018-07,La Nova Esquerra de l'Eixample,30923
2018-07,La Prosperitat,248
2018-07,La Sagrada Família,37750
2018-07,La Sagrera,1451
2018-07,La Salut,2896
2018-07,La Teixonera,369
2018-07,La Trinitat Vella,9
2018-07,La Vall d'Hebron,55
2018-07,La Verneda i La Pau,1614
2018-07,La Vila Olímpica,4198
2018-07,Les Corts,4469
2018-07,Les Tres Torres,429
2018-07,Montbau,303
2018-07,Navas,1661
2018-07,Nou Barris,199
2018-07,Pedralbes,552
2018-07,Porta,618
2018-07,Provençals del Poblenou,2919
2018-07,Sant Andreu,1
2018-07,Sant Andreu de Palomar,1540
2018-07,Sant Antoni,30560
2018-07,Sant Genís dels Agudells,526
2018-07,Sant Gervasi - Galvany,6091
2018-07,Sant Gervasi - la Bonanova,876
2018-07,Sant Martí,209
2018-07,Sant Martí de Provençals,2429
2018-07,Sant Pere/Santa Caterina,13138
2018-07,Sants-Montjuïc,31314
2018-07,Sarrià,1170
2018-07,Sarrià-Sant Gervasi,4
2018-07,Torre Baró,316
2018-07,Trinitat Nova,189
2018-07,Turó de la Peira - Can Peguera,436
2018-07,Vallcarca i els Penitents,2554
2018-07,Verdum - Los Roquetes,687
2018-07,Vila de Gràcia,33656
2018-07,Vilapicina i la Torre Llobeta,1201
2018-07,el Fort Pienc,17020
2018-08,Baró de Viver,58
2018-08,Camp d'en Grassot i Gràcia Nova,10524
2018-08,Can Baro,1655
2018-08,Carmel,1705
2018-08,Ciutat Vella,524
2018-08,Diagonal Mar - La Mar Bella,2996
2018-08,Dreta de l'Eixample,59265
2018-08,Eixample,2170
2018-08,El Baix Guinardó,4140
2018-08,El Besòs i el Maresme,4968
2018-08,El Bon Pastor,64
2018-08,El Born,12873
2018-08,El Camp de l'Arpa del Clot,7297
2018-08,El Clot,3849
2018-08,El Coll,1391
2018-08,El Congrés i els Indians,567
2018-08,El Gòtic,35582
2018-08,El Poble-sec,37886
2018-08,El Poblenou,13715
2018-08,El Putget i Farró,4295
2018-08,El Raval,41977
